"","ring1","ring2","ring3","ring4","ring5","ring6","ring7","ring8","ring9","ring10","ring11","ring12","ring13","ring14","ring15"
"ENSMUSG00000050505",1.23529411764706,1.13793103448276,1,0,1,0,1,0,1,1,1,1.08695652173913,0,0,0
"ENSMUSG00000055421",1.325,1.53125,1.24,1.05882352941176,1.22857142857143,1.13793103448276,1.35365853658537,1.25,1.30769230769231,1.225,1.5,1.26373626373626,1.33333333333333,1.33333333333333,1.36363636363636
"ENSMUSG00000022076",1,1,1,0,1.28571428571429,1,1,0,1,0,0,1,0,0,0
"ENSMUSG00000055639",1.325,1.1875,1.34090909090909,1,1.32258064516129,1.23529411764706,1,0,1.11111111111111,1,0,1.05882352941176,0,0,0
"ENSMUSG00000060377",1,1,1,1.16666666666667,1,1,1,0,1,1,1,1.04761904761905,0,0,1
"ENSMUSG00000033186",1.46923076923077,1.8,1.56349206349206,1.5,1.51190476190476,1.66,1.63636363636364,1.6,1.63576158940397,1.62666666666667,1.72727272727273,1.84931506849315,1.23076923076923,0,1.6
"ENSMUSG00000022070",1,1,1,0,1,0,0,0,1,0,0,1,0,0,0
"ENSMUSG00000033166",1,1,1.0625,1,1.18181818181818,1,1,1.33333333333333,1,1.16666666666667,1,1.05882352941176,1,0,1
"ENSMUSG00000022064",1.1,1.14285714285714,1,1,1,1.14285714285714,1,0,1,1.27272727272727,1,1.0625,0,0,1
"ENSMUSG00000005148",1.07692307692308,1.05,1,1.33333333333333,1,1.33333333333333,1,1,1.07692307692308,1,1.25,1,0,0,1.5
"ENSMUSG00000072294",1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000033083",1.05,1.07407407407407,1.16,1.2,1,1,1.05882352941176,1.25,1.07142857142857,1.125,0,1.03846153846154,0,0,1.2
"ENSMUSG00000075486",1.63934426229508,1.65040650406504,1.53333333333333,1.46875,1.7741935483871,1.55555555555556,1.46666666666667,1.58333333333333,1.65408805031447,1.58208955223881,1.61538461538462,1.82312925170068,1.66666666666667,1.25,1.72727272727273
"ENSMUSG00000022111",1.58015267175573,1.42,1.53676470588235,1.58064516129032,1.5,1.64406779661017,1.3855421686747,1.6,1.64137931034483,1.37777777777778,1.85185185185185,1.72727272727273,1.2,1.2,1.4
"ENSMUSG00000033060",1.2,1.484375,1.28813559322034,1.2,1.52631578947368,1.13793103448276,1.15151515151515,1,1.06,1.07407407407407,1,1.56896551724138,0,0,1.07692307692308
"ENSMUSG00000098557",1.21917808219178,1.34666666666667,1.11475409836066,1.08333333333333,1.30952380952381,1.24137931034483,1.18181818181818,1.09090909090909,1.31428571428571,1.17391304347826,1.33333333333333,1.325,1.16666666666667,1,1.6
"ENSMUSG00000022126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022125",1.09090909090909,1.11111111111111,1.21951219512195,1.05555555555556,1.03448275862069,1.2962962962963,1,1.33333333333333,1.21212121212121,1.21428571428571,1.08333333333333,1.1025641025641,1,0,1.14285714285714
"ENSMUSG00000022124",1.38947368421053,1.57142857142857,1.30263157894737,1.11764705882353,1.2037037037037,1.11428571428571,1.27956989247312,1,1.27450980392157,1.46,1.4,1.39393939393939,1.42857142857143,0,1.18518518518519
"ENSMUSG00000033004",1.57746478873239,2.01986754966887,1.44067796610169,1.08695652173913,1.37333333333333,1.37777777777778,1.81451612903226,1.75,1.71779141104294,1.71084337349398,1.46341463414634,1.87974683544304,1.31578947368421,1,1.4047619047619
"ENSMUSG00000055717",1.35,1.3780487804878,1.26829268292683,1.42857142857143,1.38333333333333,1.52,1.27692307692308,1.375,1.56603773584906,1.24242424242424,1.15384615384615,1.4639175257732,1,1.33333333333333,1.11764705882353
"ENSMUSG00000022122",1.40384615384615,1.31764705882353,1.29411764705882,1.56521739130435,1.44444444444444,1.5,1.15714285714286,1.5,1.38709677419355,1.05714285714286,1.29411764705882,1.30232558139535,1.4,0,1.1
"ENSMUSG00000022120",1.06666666666667,1.05882352941176,1.09090909090909,1,1,1.2,1,1,1.07692307692308,1,1,1.12,0,0,1
"ENSMUSG00000022119",1.05714285714286,1.04166666666667,1,1,1,1,1.0952380952381,1,1.1,1.375,1.16666666666667,1.24,1,0,1.125
